id,title,shelfmark,siglum
123610,"Graz, Universitätsbibliothek, 29 (olim 38/8 f.)",29 (olim 38/8 f.),A-Gu
123611,"Graz, Universitätsbibliothek, 30 (olim 38/9 f.)",30 (olim 38/9 f.),A-Gu
1000103,"Graz, Universitätsbibliothek, MS 756",MS 756,A-Gu
653927,"Graz, Universitätsbibliothek, Ms. 211",Ms. 211,A-Gu
123653,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, CCl 1010",CCl 1010,A-KN
123654,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, CCl 1011",CCl 1011,A-KN
123613,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, CCl 1012",CCl 1012,A-KN
123614,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, CCl 1013",CCl 1013,A-KN
123655,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, CCl 1015",CCl 1015,A-KN
123615,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, CCl 1017",CCl 1017,A-KN
123616,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, CCl 1018",CCl 1018,A-KN
123656,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, CCl 589",CCl 589,A-KN
123660,"Kremsmünster, Benediktiner-Stift Kremsmünster - Musikarchiv, Schachtel VI/258",Schachtel VI/258,A-KR
123617,"Linz, Oberösterreichische Landesbibliothek, 290 (olim 183; olim Gamma p 19)",290 (olim 183; olim Gamma p 19),A-LIb
123658,"Sankt Florian, Augustiner-Chorherrenstift - Bibliothek und Musikarchiv, XI 480",XI 480,A-SF
123643,"Vorau, Stiftsbibliothek, 287 (olim XXIX)",287 (olim XXIX),A-VOR
123644,"Wien, Diözesanarchiv, C-10",C-10,A-Wda
123645,"Wien, Diözesanarchiv, C-11",C-11,A-Wda
123649,"Wien, Diözesanarchiv, D-4",D-4,A-Wda
123667,"Wien, Österreichische Nationalbibliothek - Handschriftensammlung, 1799**",1799**,A-Wn
701515,"Wien, Österreichische Nationalbibliothek, Cod. 1707",Cod. 1707,A-Wn
123713,"Wien, Österreichische Nationalbibliothek - Musiksammlung, Cod. 1890",Cod. 1890,A-Wn
699463,"Wien, Österreichische Nationalbibliothek, Cod. 3672",Cod. 3672,A-Wn
702226,"Wien, Österreichische Nationalbibliothek, Cod. 3841, flyleaf","Cod. 3841, flyleaf",A-Wn
701224,"Wien, Österreichische Nationalbibliothek, Fragm. 1494",Fragm. 1494,A-Wn
701386,"Wien, Österreichische Nationalbibliothek, Fragm. 613",Fragm. 613,A-Wn
123759,"Wien, Österreichische Nationalbibliothek, Mus.Hs.15489",Mus.Hs.15489,A-Wn
123745,"Melbourne, State Library of Victoria, 096.1/R66A (""The Poissy Antiphonal"")","096.1/R66A (""The Poissy Antiphonal"")",AUS-Msl
669163,"Sydney, University of Sydney - Fisher Library - Rare Books & Special Collections, Add. Ms. 413 (olim Add. Ms. Fol.1)",Add. Ms. 413 (olim Add. Ms. Fol.1),AUS-Sfl
1000001,"Sydney, University of Sydney - Fisher Library - Rare Books & Special Collections, Add. Ms. 413, Frag. 1","Add. Ms. 413, Frag. 1",AUS-Sfl
